igcode,resourcelink
PM,https://learn.mulearn.org/innovationentre/pm
CAD,https://learn.mulearn.org/clouddevops
NLC,
ENT,https://learn.mulearn.org/innovationentre/innovent
ARVR,https://learn.mulearn.org/arvrxr/arvr
CYB,https://learn.mulearn.org/cybersec
UIUX,https://learn.mulearn.org/uiuxcreative
MOB,https://learn.mulearn.org/webmobile/android
AI,https://learn.mulearn.org/aimlanalytics/ai
MARK,
AGM,
CC,
BLOC,https://learn.mulearn.org/blockchain
WEB,https://learn.mulearn.org/webmobile/web
SL,
CIV,https://learn.mulearn.org/noncircuit/civil
IOT,https://learn.mulearn.org/iotrf/iot
CRD,https://learn.mulearn.org/uiuxcreative
QA,https://learn.mulearn.org/webmobile/qa
