IG_Name,FinalTotalUsers,LearningCircles
Competitive Coding,347,41
3D Animation and Game Development,273,34
Cloud And Devops,203,41
Marketing,120,17
Web Development,10825,2586
Cyber Security,8308,1985
Ai,7591,1813
Mobile Development,2213,528
Ui Ux,3069,733
Internet Of Things (IOT) And Robotics,5190,1240
Product Management,2216,529
Entrepreneurship,2538,607
Blockchain,1414,338
Data Structures and Algorithm,2076,496
Devops,1114,266
No Or Low Code,303,72
Creative Design,4415,1055
Ar Vr Mr,886,212
Strategic Leadership,489,117
Quality Assurance,150,36
Civil,210,50
Game Dev,66,16
Digital Marketing,36,8
MuV,17,4
Beckn,15,4
Data Science,97,23
Project Management,46,11
Comics,25,6
Data Analytics,50,12
Generative AI,86,20
Space,79,19
Human Resources,31,8
Quantum Computing,62,27
